Season,Name,Team,IP,FA-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z
2025,Clayton Kershaw,LAD,111.2,10.243459283618200,,7.539407946399810,,9.40694219415838,4.9121704945755500,-8.285449993799600,-12.716442108154300,1.0932756662368800,,,
2025,Max Scherzer,TOR,85,9.412730955582340,4.60892571343316,,,,2.3752740088929500,-3.742657285748110,,,2.83420660556891,,
2025,Charlie Morton,- - -,125.2,7.0901605765807800,2.957993446908350,,,2.700986011170130,,-5.087270089205440,,,-2.0260677925815700,,
2025,Martín Pérez,CHW,52.2,8.487758513419860,6.4397738272683700,,,5.664818041252370,,-1.8952981700067900,,,5.511146545410160,,
2025,Justin Verlander,SFG,152,11.224782582875800,,,,9.494537353515630,2.753453408518150,-6.621095637685250,,,5.885171426309120,,
2025,Nathan Eovaldi,TEX,130,7.51260319462529,6.670755123782470,0.35819264662226200,,5.622896489408830,2.183808202328890,-4.8985173771438,,,,,
2025,Patrick Corbin,TEX,154.1,8.83523308249081,3.984111465026290,,,6.670716502568490,0.6636705265488740,-1.5905042012532600,,,5.4948260967548100,,
2025,Miles Mikolas,STL,156.1,8.877775969328700,,,,5.570860021254600,3.830112627208140,-8.444827057594480,-7.49229113260905,,4.288123070776880,,
2025,Zack Wheeler,PHI,149.2,8.373278821037210,5.286077110512740,2.674950941553660,,4.451041106802830,1.4966344456214700,-5.864277114216080,,,,,
2025,Chris Sale,ATL,120,5.2007481748300400,,,,0.8083591184754300,-1.8525527588422500,,,,-0.431756959544669,,
2025,Jacob deGrom,TEX,172.2,9.642914198877810,,,,,1.7165471462121700,-2.974224119258110,,,1.4966698598053500,,
2025,Merrill Kelly,- - -,184,8.528050363799670,6.9083619634789200,,,3.6146114148591700,2.2112189743119400,-5.647730249558050,,,0.3591297890277620,,
2025,Jose Quintana,MIL,131.2,9.150377168430120,,,,7.13606191978295,,-2.2580596671616700,,,2.4920316060384100,,
2025,Robbie Ray,SFG,182.1,10.61495028409090,,,,,5.483156377618960,,-2.7497344723930300,,7.066714026276630,,
2025,Jameson Taillon,CHC,129.2,10.640459676427200,4.917475822475130,,,8.498739803538600,-0.09925983263098680,-5.196077234604780,,,4.799752213836260,,
2025,Taijuan Walker,PHI,103.2,10.218037169656600,7.529986524206450,2.7236660181549500,,7.592091966711960,3.7457778219114300,-5.84738417803231,,,,,
2025,Kyle Hendricks,LAA,164.2,8.186175287986290,,,,4.267767072937880,,-6.048769393057190,,,5.066846544136270,,
2025,Chris Bassitt,TOR,169.1,6.232154527091260,4.611197848279940,-0.33453925081001700,,2.7482791621193600,-0.4878087298860280,-6.966769689035210,,,2.1968158922697400,,
2025,Colin Rea,CHC,143.1,8.050471293235000,4.545043548980320,0.13866641395970400,,4.76783955455338,0.19364675996605500,-4.355243235126910,,,,,
2025,Seth Lugo,KCR,145.1,8.801054454985120,6.163498425839550,2.3286440713065000,,5.192214172010480,2.2201134026383600,-6.125391364820080,-2.693923147101150,,2.6892558315344000,,
2025,Adrian Houser,- - -,125,8.726026440098280,,,,4.29168455345584,2.780103134782350,-6.815609478842620,,,2.9131481342249700,,
2025,Nick Martinez,CIN,145,10.434244791666700,6.7663420024671100,,,8.541250128495070,1.3657677585341400,-9.428433857266870,,,3.154284586042370,,
