Season,Name,Team,IP,FA-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X
2025,Clayton Kershaw,LAD,111.2,0.43819199990990500,,5.419693465085370,,5.499575181440870,-2.032852447214300,-1.8876030815972200,-4.5915632247924800,-1.560447096824650,,,
2025,Max Scherzer,TOR,85,-5.948432718610910,-0.9918977949354380,,,,1.1570281518628900,5.784817782315340,,,-9.005786758814100,,
2025,Charlie Morton,- - -,125.2,-7.609609982846010,-0.25406041959436900,,,-10.849530638783900,,7.90610601602956,,,-8.55896883388973,,
2025,Martín Pérez,CHW,52.2,6.347535164125500,0.07445554565965080,,,9.375811027758050,,-2.8967296213343500,,,8.597629801432290,,
2025,Justin Verlander,SFG,152,-5.633215826910900,,,,-7.242196083068850,2.7095732203784100,3.716904473058960,,,-7.869213757214250,,
2025,Nathan Eovaldi,TEX,130,-8.523397940176510,-0.6544143874923900,-7.840696214441450,,-10.77294670183630,2.30609711356785,4.211228665072560,,,,,
2025,Patrick Corbin,TEX,154.1,5.8272916906020200,0.4510511356722160,,,9.630791818279110,-0.49014559013899000,-0.8262230555216470,,,7.817709898337340,,
2025,Miles Mikolas,STL,156.1,-5.477975872507120,,,,-9.557782341452210,1.229094755814370,4.27230111055596,2.790600140889490,,-8.985046813538030,,
2025,Zack Wheeler,PHI,149.2,-6.526137730154180,-0.22938019095115300,-8.101913164246760,,-10.610945418074300,6.925964010637360,6.512955103165060,,,,,
2025,Chris Sale,ATL,120,9.529456215234860,,,,11.142924875452900,-5.004420062295750,,,,10.386753878147500,,
2025,Jacob deGrom,TEX,172.2,-5.657208297615340,,,,,2.156655824802900,5.618531650170350,,,-8.276421808792370,,
2025,Merrill Kelly,- - -,184,-6.057861893265340,-2.3573947190828000,,,-10.14692961040300,0.41384671787320100,4.324747461472110,,,-9.13289820894282,,
2025,Jose Quintana,MIL,131.2,3.3616049458661400,,,,8.55584078353818,,-3.5981044296390800,,,8.977415974934900,,
