Season,Name,Team,IP,vFA,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
2025,Clayton Kershaw,LAD,111.2,88.93492586490940,,83.1247432748067,,89.27272727272730,85.6857548841632,72.32984250992060,58.599998474121100,46.29999923706060,,,
2025,Max Scherzer,TOR,85,93.59806773924330,88.0925925925926,,,,86.34255675341950,76.72969933712120,,,84.88512620192310,,
2025,Charlie Morton,- - -,125.2,94.18702595026430,87.89707269435980,,,94.00255180553400,,81.40989370752120,,,87.49162823513220,,
2025,Martín Pérez,CHW,52.2,89.64839024697580,85.94867907072370,,,89.49583481297350,,76.2478275022645,,,82.1816650390625,,
2025,Justin Verlander,SFG,152,93.92001425253380,,,,93.30000305175780,85.53660049627790,78.50360925418820,,,84.67882530968470,,
2025,Nathan Eovaldi,TEX,130,94.11412217881940,90.4945413961039,87.60714285714290,,93.34948856314430,85.7434771993886,75.83482952671500,,,,,
2025,Patrick Corbin,TEX,154.1,91.45411879595590,87.49782174844240,,,91.54986087328770,80.35685864825580,68.713330078125,,,81.46837439903850,,
2025,Miles Mikolas,STL,156.1,92.91695045405980,,,,92.4149528952206,87.00476430491550,76.14116097383720,69.23333231608070,,85.92762510926570,,
2025,Zack Wheeler,PHI,149.2,96.07258218654430,91.84805445995150,87.10235480542450,,95.43734643734640,83.72909494173730,81.14102564102560,,,,,
2025,Chris Sale,ATL,120,94.83040404820770,,,,93.83333333333330,79.11437908496730,,,,86.63093665692450,,
2025,Jacob deGrom,TEX,172.2,97.49991557564420,,,,,90.37202759409970,80.8917263862782,,,89.83457362288140,,
2025,Merrill Kelly,- - -,184,91.8479923201196,90.64165534907490,,,92.19579050164470,85.79035632138320,81.67299234432030,,,88.32087610123010,,
2025,Jose Quintana,MIL,131.2,90.40984098179130,,,,90.51318155073220,,78.29214553202480,,,85.58771158854170,,
2025,Robbie Ray,SFG,182.1,93.58194553291540,,,,,87.78096701882100,,81.20404102088950,,84.84787163220550,,
2025,Jameson Taillon,CHC,129.2,92.25891978346460,85.76609131704150,,,92.3029426125919,80.21070234113710,79.64448816636030,,,84.03212492929870,,
2025,Taijuan Walker,PHI,103.2,92.03703703703700,86.96436700295280,87.14015948834200,,91.8411571557971,83.48445595854920,74.9322033898305,,,,,
2025,Kyle Hendricks,LAA,164.2,86.47347337372450,,,,86.2011201629328,,72.24669719192220,,,79.45937025075990,,
2025,Chris Bassitt,TOR,169.1,91.47870870960080,88.53907891281510,83.62558290939920,,91.5612422806644,76.27900752314820,71.28711790393010,,,84.46710526315790,,
2025,Colin Rea,CHC,143.1,93.86652784842320,88.30130123782470,87.37578810307020,,93.1107329667382,84.09912322598250,80.29765441607980,,,,,
2025,Seth Lugo,KCR,145.1,91.7265857514881,89.2358208955224,84.32142857142860,,91.27369716401730,82.47262351606150,78.932421875,71.13245699698460,,86.24166495339910,,
2025,Adrian Houser,- - -,125,95.24660412542420,,,,94.42278301208290,88.11746508454620,81.69411720517540,,,85.84602076124570,,
2025,Nick Martinez,CIN,145,92.55361995341620,88.99916118421050,,,92.42604851973680,84.84979762801200,79.70833333333330,,,78.42326447147650,,
2025,Sonny Gray,STL,180.2,91.72673009488450,87.84302325581400,,,92.36807941331920,85.03609154929580,80.26982205734410,74.89999389648440,,86.19475811954150,,
2025,Tyler Anderson,LAA,136.1,89.28802141657330,84.34488354645090,,,88.44470932904410,80.54024152057930,69.42000122070310,,,78.67559944968550,,
2025,Yu Darvish,SDP,72,93.92848950763080,90.7872340425532,86.36666349085370,,93.4040666285569,84.56137184115520,71.11564354923190,78.82142857142860,,88.0499979654948,,
2025,Eduardo Rodriguez,ARI,154.1,91.99156766528930,89.32457386363640,,,91.55773259943180,84.14341085271320,78.62978931183510,,,85.92646798204160,,
2025,Blake Snell,LAD,61.1,95.12076241629460,,,,,88.22894394188600,80.56906004764570,,,85.47037358539090,,
2025,Clay Holmes,NYM,161,93.20271975977890,89.79561574835530,,,93.71166207529840,83.16918703589110,,,,88.06674955463180,,
2025,Max Fried,NYY,195.1,95.80335513565890,93.6415119696101,,,94.04518772686030,82.06579386876480,75.24916346601490,,,85.24691853005870,,
2025,Zach Eflin,BAL,71.1,91.96875,88.46571269132650,,,91.69953198702830,79.19245037342770,78.06593406593410,,,86.56648543074320,,
2025,Michael Wacha,KCR,172.2,93.03535864637310,88.14926638719510,,,93.22947505482460,84.7965091765873,75.12621359223300,,,79.8426883308715,,
2025,Kevin Gausman,TOR,193,94.45706004299750,,84.86006898636760,,93.6500015258789,83.19886228612170,,,,,,
2025,Lance McCullers Jr.,HOU,51.1,91.85999849759620,89.11836336096940,,,91.53445049894960,82.86781609195400,,82.55680242233730,,86.7657764455214,,
2025,José Berríos,TOR,164,92.97473684210530,89.56644479851970,,,92.14699143629810,,82.51734921993910,,,85.18951231060610,,
2025,Tyler Glasnow,LAD,90.1,95.73346379063100,,,,95.93934426229510,89.31498470948010,81.96389130015430,,,,,
2025,Michael Lorenzen,KCR,140.2,93.92261904761910,90.152,,,92.98037640366430,83.95522388059700,82.17087972940610,,,83.75213424185460,,
2025,Germán Márquez,COL,126.1,94.83664456602370,,,,94.2810110100211,88.74342105263160,,85.47164395960370,,88.62453014445760,,
2025,Andrew Heaney,PIT,117,90.06149103969190,,,,89.26355034722220,80.54882154882160,77.50449328476120,73.96783489947550,,81.97593976449280,,
2025,Matthew Boyd,CHC,179.2,93.27868461010970,,,,92.04158609220300,81.95024318321080,73.52733118971060,,,78.69646033653850,,
2025,Nick Pivetta,SDP,181.2,93.75244140625,90.15454391057310,87.32000122070310,,93.7849574806416,81.91490271226420,78.97758498236680,,,,,
2025,Lucas Giolito,BOS,145,93.25959860383940,,,,,85.97838025990100,78.63780249618900,,,81.6614217579588,,
2025,Antonio Senzatela,COL,108,94.8686274509804,,,,95.18000139508930,86.8813775510204,80.33147099103590,,,87.45063977363780,,
2025,Luis Castillo,SEA,180.2,94.97186147186150,,,,94.82098248468610,84.48292538998360,,,,87.16882467830880,,
2025,Zack Littell,- - -,186.2,92.11387337386880,,83.43188925114830,,91.48561709971910,86.00871246936280,,,,,,
2025,Sean Manaea,NYM,51.1,91.65768393987340,,,,91.67999267578130,77.55532271086630,,,,84.58571079799110,,
2025,Luis Severino,ATH,162.2,96.0777524834437,93.20545073375260,,,95.65968172315140,84.87378737277350,,,,86.20276131465520,,
2025,Carlos Rodón,NYY,195.1,94.12596493675600,92.37999877929690,,,91.93915604773460,85.89189142935380,80.31721471567620,,,84.99942046001930,,
2025,Aaron Nola,PHI,94.1,91.8621052631579,86.22782778532610,,,90.72241992882560,,,78.19912472647700,,84.82833658854170,,
2025,Brandon Woodruff,MIL,64.2,93.06141201761750,89.47350993377480,,,92.85488347011780,80.66666666666670,78.61111111111110,,,83.6,,
2025,Kyle Freeland,COL,162.2,91.57819088855420,87.29381443298970,,,91.33666666666670,83.60471329599060,,82.57453824266980,,86.39523543792520,,
2025,Tyler Mahle,TEX,86.2,91.96608301352340,85.4011396928267,84.06736496409920,,,83.40507529438410,,,,,,
2025,Austin Gomber,COL,57.2,89.45043731778430,86.10750122070310,81.004443359375,,,82.5251572327044,,76.03064358618950,,80.96463533727140,,
2025,Grant Holmes,ATL,114,94.47279751375790,92.15000131967910,,,93.17500305175780,85.38848920863310,83.41926650747510,,,90.17391304347830,,
2025,Trevor Williams,WSN,82.2,87.73938285048620,,,,86.64583333333330,77.75790178571430,,,,81.31559244791670,,
2025,Pablo López,MIN,75.2,94.47649476156070,,,,93.67317311356710,84.8632958801498,82.65484028477820,,,87.35093340355810,,
2025,Ranger Suarez,PHI,157.1,91.30819098693500,86.435546875,,,90.12114995503600,79.7156862745098,73.93129770992370,,,79.51185344827590,,
2025,Framber Valdez,HOU,192,93.69773171164770,,,,94.26760883451260,84.35933743990380,79.43500195924760,,,89.85977526091080,,
2025,Erick Fedde,- - -,120.2,,90.21602318992080,,,93.18407793950770,82.65723037719730,,,,87.44043393342390,,
2025,Jack Flaherty,DET,161,92.91567563112280,,,,90.73110894097220,84.93198804185350,,77.83426183844010,,85.80000135633680,,
2025,Mitch Keller,PIT,176.1,94.02876086701130,92.40000406901040,,,92.86577181208050,84.2849172600211,77.42428385416670,,,89.16969499684340,,
2025,Jeffrey Springs,ATH,158.1,90.6932705965909,86.86363636363640,,,,81.82937062937060,,,,79.10994242163610,,
2025,Logan Webb,SFG,207,92.77616882324220,91.0594609676641,,,92.5663353561706,84.63826245704470,,,,86.49331202651520,,
2025,Michael Soroka,- - -,83.1,93.5146404515917,,,,93.22086186031640,,80.34469230807560,,,84.25878246410470,,
2025,Dylan Cease,SDP,168,97.12188623202880,,,,96.0506591796875,88.69363550148040,,82.27738250248020,,77.25293686810660,,
2025,Freddy Peralta,MIL,176.2,94.77910168079950,,,,,83.68900343642610,78.849285851227,,,88.90152671755730,,
2025,Sandy Alcantara,MIA,174.2,97.5511462602459,,,,97.19763530165620,89.41008771929830,85.33896653071020,,,90.418359375,,
