Season,Name,Team,Archetype,PC1,PC2,CY_winner,Share
2025,Jack Flaherty,DET,Knuckle Curve Specialist,0.17702116067994061,5.498245428018848,0,0.0
2025,Mitch Keller,PIT,Cutter/East-West Artist,0.33077253706638643,-1.4740998641285408,0,0.0
2025,Jeffrey Springs,ATH,North/South Power Starter,-1.2878742232834803,0.6690511191317299,0,0.0
2025,Logan Webb,SFG,Cutter/East-West Artist,0.36915824358223936,1.2883902033001586,0,0.22
2025,Michael Soroka,TOT,Fastball/Sinker Hybrid,-1.3109550695415542,-2.2077072377066935,0,0.0
2025,Dylan Cease,SDP,Knuckle Curve Specialist,-0.40652164072209135,4.988612975464915,0,0.0
2025,Freddy Peralta,MIL,North/South Power Starter,-1.478285886129498,-1.7953225285976686,0,0.21
2025,Sandy Alcantara,MIA,Fastball/Sinker Hybrid,-1.2465709598777228,-0.9696730529081301,0,0.0
2025,Zac Gallen,ARI,Knuckle Curve Specialist,0.5669463675952144,5.0947096057650585,0,0.0
2025,Cal Quantrill,TOT,Power Splitter/Forkballer,4.849305754245934,-1.7545427742953414,0,0.0
2025,Eric Lauer,TOR,North/South Power Starter,-0.8106845056353666,-1.6279254052350716,0,0.0
2025,Dean Kremer,BAL,Power Splitter/Forkballer,7.692230341733365,-2.353252117819397,0,0.0
2025,Corbin Burnes,ARI,Sinker/Sidearm Specialist,-0.35345152843578703,-0.9449364226578382,0,0.0
2025,Walker Buehler,TOT,Knuckle Curve Specialist,1.256222281480676,5.483004025846026,0,0.0
2025,Aaron Civale,TOT,Power Splitter/Forkballer,7.754178532058006,-2.791411531767592,0,0.0
2025,Jason Alexander,HOU,Cutter/East-West Artist,-0.030120049694379203,1.2349512286478759,0,0.0
2025,Dustin May,TOT,Cutter/East-West Artist,0.9695803601933987,1.3512377051838285,0,0.0
2025,Michael King,SDP,Fastball/Sinker Hybrid,-0.7698220898889021,1.1912460934982023,0,0.0
2025,Griffin Canning,NYM,Knuckle Curve Specialist,0.5196300126850302,4.75481195684421,0,0.0
2025,Clarke Schmidt,NYY,Knuckle Curve Specialist,3.6825258779666785,5.646218124422977,0,0.0
2025,Jesus Luzardo,PHI,Kitchen Sink/Finesse Mix,-2.2609624016488947,1.35132749546389,0,0.02
2025,Joey Wentz,ATL,North/South Power Starter,-1.9866146690630062,-1.650449341637331,0,0.0
2025,Bailey Falter,TOT,Power Splitter/Forkballer,4.169160101336087,-1.162260658408731,0,0.0
2025,Chris Paddack,TOT,Cutter/East-West Artist,-0.42277034638862243,-1.5093057675668429,0,0.0
2025,David Peterson,NYM,Kitchen Sink/Finesse Mix,-1.8056090094039714,-0.7986522321000253,0,0.0
2025,Casey Mize,DET,Power Splitter/Forkballer,6.976222248005356,-1.6896316538875722,0,0.0
2025,Bowden Francis,TOR,Power Splitter/Forkballer,6.368128950112482,-2.0958809209677107,0,0.0
2025,Yusei Kikuchi,LAA,Kitchen Sink/Finesse Mix,-1.9060526714019121,-0.9306523045924195,0,0.0
2025,Cristopher Sanchez,PHI,Sinker/Sidearm Specialist,-2.4851421076711104,2.26010510118051,0,0.57
2025,Luis Gil,NYY,North/South Power Starter,-1.3729928770558188,0.5701707161225092,0,0.0
2025,Bailey Ober,MIN,Fastball/Sinker Hybrid,-1.1977447765618288,-0.9006872595446659,0,0.0
2025,Tylor Megill,NYM,Fastball/Sinker Hybrid,-0.25342791173185353,-1.477090700495501,0,0.0
2025,Joe Ryan,MIN,Power Splitter/Forkballer,6.706842736297806,-2.034266778924299,0,0.0
2025,Davis Martin,CHW,Cutter/East-West Artist,-0.07669811860638809,-1.44938776681034,0,0.0
2025,Kris Bubic,KCR,Kitchen Sink/Finesse Mix,-1.5973583640053526,1.2303118633815133,0,0.0
2025,Stephen Kolek,TOT,Cutter/East-West Artist,0.4675385924582215,-0.9727013660808114,0,0.0
2025,Jake Irvin,WSN,Cutter/East-West Artist,-0.026697542545237596,-1.7312251463975024,0,0.0
2025,Edward Cabrera,MIA,Fastball/Sinker Hybrid,-1.0310925245887237,-1.7590859880106597,0,0.0
2025,Cole Ragans,KCR,Knuckle Curve Specialist,-1.4933015190189547,3.3893437827740387,0,0.0
2025,Jose Soriano,LAA,Knuckle Curve Specialist,4.396922839889418,5.646962836160757,0,0.0
2025,Hunter Greene,CIN,Power Splitter/Forkballer,5.82170447101636,-1.8779207707240522,0,0.0
2025,MacKenzie Gore,WSN,North/South Power Starter,-1.5336507001937725,-2.1717548981942225,0,0.0
2025,Logan Gilbert,SEA,Power Splitter/Forkballer,4.677481400439179,-1.3032455687199753,0,0.0
2025,Shane Baz,TBR,Knuckle Curve Specialist,-0.01216993307063753,5.21688486132278,0,0.0
2025,Tarik Skubal,DET,Kitchen Sink/Finesse Mix,-0.8065540611132366,-0.7946388935468095,1,0.94
2025,Trevor Rogers,BAL,Kitchen Sink/Finesse Mix,-1.8458942199791613,1.2003085656240584,0,0.0
