Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2025,"Clayton Kershaw","LAD",111.2,0.43819199990990526,,,5.419693465085373,,5.499575181440874,-2.032852447214298,-1.8876030815972222,-4.5915632247924805,-1.560447096824646,,,,"Clayton Kershaw",2036,477132
2025,"Max Scherzer","TOR",85,-5.948432718610905,,-0.9918977949354384,,,,1.1570281518628895,5.784817782315341,,,-9.005786758814102,,,"Max Scherzer",3137,453286
2025,"Charlie Morton","- - -",125.2,-7.609609982846014,,-0.25406041959436926,,,-10.849530638783916,,7.90610601602956,,,-8.55896883388973,,,"Charlie Morton",4676,450203
2025,"Martín Pérez","CHW",52.2,6.347535164125504,,0.07445554565965083,,,9.375811027758049,,-2.8967296213343525,,,8.597629801432292,,,"Martin Perez",6902,527048
2025,"Justin Verlander","SFG",152,-5.633215826910895,,,,,-7.242196083068848,2.7095732203784118,3.716904473058956,,,-7.869213757214245,,,"Justin Verlander",8700,434378
2025,"Nathan Eovaldi","TEX",130,-8.523397940176505,,-0.6544143874923904,-7.840696214441445,,-10.77294670183634,2.30609711356785,4.211228665072559,,,,,,"Nathan Eovaldi",9132,543135
2025,"Patrick Corbin","TEX",154.1,5.8272916906020225,,0.4510511356722157,,,9.630791818279109,-0.49014559013898984,-0.8262230555216471,,,7.817709898337339,,,"Patrick Corbin",9323,571578
2025,"Miles Mikolas","STL",156.1,-5.477975872507122,,,,,-9.557782341452207,1.229094755814372,4.27230111055596,2.790600140889486,,-8.985046813538025,,,"Miles Mikolas",9803,571945
2025,"Zack Wheeler","PHI",149.2,-6.526137730154179,,-0.22938019095115292,-8.101913164246756,,-10.610945418074325,6.925964010637359,6.512955103165064,,,,,,"Zack Wheeler",10310,554430
2025,"Chris Sale","ATL",120,9.529456215234857,,,,,11.142924875452898,-5.004420062295751,,,,10.386753878147482,,,"Chris Sale",10603,519242
2025,"Jacob deGrom","TEX",172.2,-5.657208297615337,,,,,,2.156655824802899,5.618531650170348,,,-8.276421808792373,,,"Jacob deGrom",10954,594798
2025,"Merrill Kelly","- - -",184,-6.057861893265335,,-2.3573947190828046,,,-10.14692961040296,0.41384671787320054,4.324747461472114,,,-9.13289820894282,,,"Merrill Kelly",11156,518876
2025,"Jose Quintana","MIL",131.2,3.3616049458661417,,,,,8.55584078353818,,-3.5981044296390756,,,8.977415974934896,,,"Jose Quintana",11423,500779
2025,"Robbie Ray","SFG",182.1,5.491316859326019,,,,,,1.0267427617853337,,-0.13809871416528913,,7.266793081336153,,,"Robbie Ray",11486,592662
2025,"Jameson Taillon","CHC",129.2,-4.596891147883858,,3.2542420489565314,,,-7.846470552332261,8.573450401076505,5.070297689998851,,,-9.17053443597992,,,"Jameson Taillon",11674,592791
2025,"Taijuan Walker","PHI",103.2,-5.801625946421682,,1.1357543224424829,-7.544459525785298,,-8.972179291213768,3.164663680476846,3.3247297901218222,,,,,,"Taijuan Walker",11836,592836
2025,"Kyle Hendricks","LAA",164.2,-4.031505351163903,,,,,-8.65881571410387,,8.131548611622936,,,-6.949940535555978,,,"Kyle Hendricks",12049,543294
2025,"Chris Bassitt","TOR",169.1,-3.5635921347730513,,-0.2041125417757435,-8.994253232497577,,-9.895691645815587,7.626688890496399,9.087407674331331,,,-9.840446873715049,,,"Chris Bassitt",12304,605135
