Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2025,"Lucas Giolito","BOS",145,0.4839527,,,,,,0.25591216,0.03462838,,,0.22550676,,,,"Lucas Giolito",15474,608337
2025,"Antonio Senzatela","COL",108,0.53996824,,,,,0.03705664,0.2075172,0.13287454,,,0.08258338,,,,"Antonio Senzatela",15488,622608
2025,"Luis Castillo","SEA",180.2,0.46385542,,,,,0.21854083,0.20381526,,,,0.11378849,,,,"Luis Castillo",15689,622491
2025,"Zack Littell","- - -",186.2,0.23780488,,,0.2733142,,0.15961263,0.32926829,,,,,,,,"Zack Littell",15823,641793
2025,"Sean Manaea","NYM",51.1,0.5864263,,,,,0.00530223,0.34888653,,,,0.05938494,,,,"Sean Manaea",15873,640455
2025,"Luis Severino","ATH",162.2,0.27645551,,0.1746613,,,0.20798242,0.28780666,,,,0.0530941,,,,"Luis Severino",15890,622663
2025,"Carlos Rodón","NYY",195.1,0.41843088,,0.00155666,,,0.09620174,0.28424658,0.03798257,,,0.16158157,,,,"Carlos Rodon",16137,607074
2025,"Aaron Nola","PHI",94.1,0.30293367,,0.07334184,,,0.17920918,,,0.29145408,,0.15306122,,,,"Aaron Nola",16149,605400
2025,"Brandon Woodruff","MIL",64.2,0.30912863,,0.156639,,,0.30809129,0.01244813,0.0373444,,,0.17634855,,,,"Brandon Woodruff",16162,605540
2025,"Kyle Freeland","COL",162.2,0.33454252,,0.15638855,,,0.06045949,0.12817412,,0.26118501,,0.0592503,,,,"Kyle Freeland",16256,607536
2025,"Tyler Mahle","TEX",86.2,0.49529327,,0.12744388,0.27733526,,,0.09992759,,,,,,,,"Tyler Mahle",16358,641816
2025,"Austin Gomber","COL",57.2,0.34334334,,0.04004004,0.04504505,,,0.15915916,,0.24824825,,0.16416416,,,,"Austin Gomber",16561,596295
2025,"Grant Holmes","ATL",114,0.32531969,,0.15140665,,,0.00204604,0.35549872,0.15396419,,,0.01176471,,,,"Grant Holmes",16944,656550
2025,"Trevor Williams","WSN",82.2,0.42610497,,,,,0.08287293,0.36256906,,,,0.12845304,,,,"Trevor Williams",16977,592866
2025,"Pablo López","MIN",75.2,0.41223193,,,,,0.06513106,0.21207307,0.09849087,,,0.21207307,,,,"Pablo Lopez",17085,641154
2025,"Ranger Suarez","PHI",157.1,0.14567901,,0.17366255,,,0.28600823,0.04197531,0.1617284,,,0.1909465,,,,"Ranger Suarez",17277,624133
2025,"Framber Valdez","HOU",192,0.01521965,,,,,0.43998616,0.031477,0.33102733,,,0.18228987,,,,"Framber Valdez",17295,664285
2025,"Erick Fedde","- - -",120.2,,,0.28035538,,,0.35340573,0.25271471,,,,0.11352419,,,,"Erick Fedde",17425,607200
2025,"Jack Flaherty","DET",161,0.46873896,,,,,0.01589544,0.23631226,,0.25362063,,0.02543271,,,,"Jack Flaherty",17479,656427
2025,"Mitch Keller","PIT",176.1,0.37073171,,0.0010453,,,0.15574913,0.33031359,0.07317073,,,0.06898955,,,,"Mitch Keller",17594,656605
2025,"Jeffrey Springs","ATH",158.1,0.43072289,,0.05384036,,,,0.26920181,,,,0.24623494,,,,"Jeffrey Springs",17677,605488
2025,"Logan Webb","SFG",207,0.07800122,,0.0789153,,,0.33577087,0.26599634,,,,0.24131627,,,,"Logan Webb",17995,657277
2025,"Michael Soroka","- - -",83.1,0.45243129,,,,,0.09795631,,0.3453136,,,0.1042988,,,,"Michael Soroka",18383,647336
2025,"Dylan Cease","SDP",168,0.41170668,,,,,0.04998356,0.44426176,,0.08286748,,0.01118053,,,,"Dylan Cease",18525,656302
2025,"Freddy Peralta","MIL",176.2,0.53499676,,,,,,0.09429682,0.15845755,,,0.21224887,,,,"Freddy Peralta",18679,642547
2025,"Sandy Alcantara","MIA",174.2,0.21099965,,,,,0.21930128,0.15773089,0.18021446,,,0.23175372,,,,"Sandy Alcantara",18684,645261
2025,"Zac Gallen","ARI",192,0.4507177,,0.05805423,,,0.0245614,0.07208931,,0.23476874,,0.15980861,,,,"Zac Gallen",19291,668678
2025,"Cal Quantrill","- - -",117.2,0.2045,,0.217,0.209,,0.1665,0.0825,0.118,,,0.0025,,,,"Cal Quantrill",19312,615698
2025,"Eric Lauer","TOR",74,0.46905537,,0.22964169,,,,0.09527687,0.13517915,,,0.07084691,,,,"Eric Lauer",19316,641778
2025,"Dean Kremer","BAL",163.1,0.269081,,0.20638629,0.2021028,,0.19392523,0.00116822,0.12733645,,,,,,,"Dean Kremer",19350,665152
2025,"Corbin Burnes","ARI",64.1,,,0.54905847,,,0.09613479,0.09018831,0.19226957,,,0.07234886,,,,"Corbin Burnes",19361,669203
2025,"Walker Buehler","- - -",120,0.25143403,,0.16873805,,,0.16491396,0.21892925,,0.12810707,,0.06787763,,,,"Walker Buehler",19374,621111
2025,"Aaron Civale","- - -",89,0.16525699,,0.33116461,0.06050748,,0.17891997,0.0897853,0.17436565,,,,,,,"Aaron Civale",19479,650644
2025,"Jason Alexander","HOU",68.1,0.10447761,,0.00652985,,,0.39645522,0.15951493,,,,0.33302239,,,,"Jason Alexander",19666,669920
2025,"Dustin May","- - -",124.2,0.15873016,,0.09375,,,0.34027778,0.39980159,,,,0.00744048,,,,"Dustin May",19716,669160
2025,"Michael King","SDP",73.1,0.24364233,,,,,0.29532404,0.24692371,,,,0.21410993,,,,"Michael King",19853,650633
2025,"Griffin Canning","NYM",76.1,0.34578043,,0.03808813,,,0.00597461,0.31516057,,0.06497386,,0.2300224,,,,"Griffin Canning",19867,656288
2025,"Clarke Schmidt","NYY",78.2,0.08156607,,0.4045677,,,0.08156607,0.25040783,,0.18189233,,,,,,"Clarke Schmidt",19899,657376
2025,"Jesús Luzardo","PHI",183.2,0.34085629,,,,,0.09990043,0.38632592,,,,0.17291736,,,,"Jesus Luzardo",19959,666200
2025,"Joey Wentz","ATL",61,0.41996403,,,,,,0.3426259,0.18794964,,,0.04946043,,,,"Joey Wentz",19962,666214
2025,"Bailey Falter","- - -",121.1,0.46186896,,,0.07787325,,0.14232009,0.1783029,0.1396348,,,,,,,"Bailey Falter",20070,663559
2025,"Chris Paddack","- - -",145.1,0.45389774,,0.06831517,,,0.03688181,0.0947192,0.11357921,,,0.23260687,,,,"Chris Paddack",20099,663978
2025,"David Peterson","NYM",168.2,0.22638014,,,,,0.29195999,0.19118192,0.13708781,,,0.15339014,,,,"David Peterson",20302,656849
2025,"Casey Mize","DET",149,0.34041649,,,0.24181895,,0.12154696,0.15342116,0.14279643,,,,,,,"Casey Mize",20492,663554
2025,"Bowden Francis","TOR",64,0.56003506,,,0.22436459,,0.01752848,0.057844,0.14022787,,,,,,,"Bowden Francis",20548,670102
2025,"Yusei Kikuchi","LAA",178.1,0.34938591,,,,,0.01163542,0.36425339,0.15384615,,,0.12087912,,,,"Yusei Kikuchi",20633,579328
2025,"Cristopher Sánchez","PHI",202,,,,,,0.45994475,0.16609116,,,,0.37396409,,,,"Cristopher Sanchez",20778,650911
2025,"Luis Gil","NYY",57,0.50618557,,,,,,0.25773196,,,,0.23608247,,,,"Luis Gil",21052,661563
2025,"Bailey Ober","MIN",146.1,0.3565365,,,,,0.03438031,0.28225806,0.03777589,,,0.28904924,,,,"Bailey Ober",21224,641927
2025,"Tylor Megill","NYM",68.1,0.42220421,,,,,0.19611021,0.24068071,0.06888169,,,0.07212318,,,,"Tylor Megill",21318,656731
2025,"Joe Ryan","MIN",166,0.51441242,,,0.11123429,,0.10864745,0.22801183,0.03769401,,,,,,,"Joe Ryan",21390,657746
2025,"Davis Martin","CHW",136.2,0.33005367,,0.23434705,,,0.10778175,0.04025045,0.04830054,,,0.23926655,,,,"Davis Martin",21448,663436
2025,"Kris Bubic","KCR",116.1,0.3810585,,,,,0.06518106,0.34317549,,,,0.21058496,,,,"Kris Bubic",21455,663460
2025,"Stephen Kolek","- - -",112.2,0.25577265,,0.15216104,,,0.24097099,0.23386619,0.00118413,,,0.116045,,,,"Stephen Kolek",21487,663568
2025,"Jake Irvin","WSN",180,0.32156197,,0.04108659,,,0.21935484,0.04448217,0.29609508,,,0.07741935,,,,"Jake Irvin",21504,663623
