Season,Name,Team,IP,FA-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,NameASCII,PlayerId,MLBAMID
2025,"Michael Lorenzen","KCR",140.2,41.346850198412696,41.4784296875,,,38.3893737071513,41.36747068230277,43.25641687619732,,,41.807790961779446,,,"Michael Lorenzen",14843,547179
2025,"Germán Márquez","COL",126.1,40.09552346068249,,,,39.6961242418249,35.57363409745066,,43.695083245998475,,38.595330004422166,,,"German Marquez",15038,608566
2025,"Andrew Heaney","PIT",117,26.054273270882703,,,,9.266387803819445,25.109577217487374,18.78291372234902,34.63621681053322,,27.291219429347827,,,"Andrew Heaney",15423,571760
2025,"Matthew Boyd","CHC",179.2,25.187873481583072,,,,21.308083713644802,13.711321662454043,32.922688278737944,,,29.20438701923077,,,"Matthew Boyd",15440,571510
2025,"Nick Pivetta","SDP",181.2,57.121230706935975,54.281628273221344,44.49388427734375,,50.88225940265487,53.84694870283019,58.03961966105015,,,,,,"Nick Pivetta",15454,601713
2025,"Lucas Giolito","BOS",145,53.11073502945026,,,,,50.2717873349835,53.558349609375,,,51.46715531367041,,,"Lucas Giolito",15474,608337
2025,"Antonio Senzatela","COL",108,43.064774816176474,,,,39.77343401227679,42.80429388552296,49.482799271663346,,,38.86729705028045,,,"Antonio Senzatela",15488,622608
2025,"Luis Castillo","SEA",180.2,16.425902439574315,,,,13.8902915031585,13.428141676929393,,,,9.683566463694852,,,"Luis Castillo",15689,622491
2025,"Zack Littell","- - -",186.2,40.60406945230015,,37.213564735072175,,37.1141052931882,41.19765603724129,,,,,,,"Zack Littell",15823,641793
2025,"Sean Manaea","NYM",51.1,14.922049827644665,,,,15.572044372558594,17.962708076082826,,,,15.936108180454799,,,"Sean Manaea",15873,640455
2025,"Luis Severino","ATH",162.2,41.902449813741725,40.5278105345912,,,40.771893568441904,36.36967984653308,,,,36.02374057112069,,,"Luis Severino",15890,622663
2025,"Carlos Rodón","NYY",195.1,47.094002859933035,44.12371826171875,,,43.013839376011326,40.4561028203724,50.91414254610656,,,43.41402486753372,,,"Carlos Rodon",16137,607074
2025,"Aaron Nola","PHI",94.1,20.146038240131578,20.526167629076088,,,19.207112919817614,,,21.467957210749454,,15.847084554036458,,,"Aaron Nola",16149,605400
2025,"Brandon Woodruff","MIL",64.2,45.16753617869127,43.6886220767798,,,44.03395280934343,41.748819986979164,45.23316786024306,,,41.26595818014706,,,"Brandon Woodruff",16162,605540
2025,"Kyle Freeland","COL",162.2,31.370736069277108,25.394551385309278,,,29.914583333333333,24.360125847582548,,27.228401089891975,,29.6441193664966,,,"Kyle Freeland",16256,607536
2025,"Tyler Mahle","TEX",86.2,43.29960480628655,38.71660267223012,38.35546365045692,,,40.915361045063406,,,,,,,"Tyler Mahle",16358,641816
2025,"Austin Gomber","COL",57.2,53.221375045553934,51.6432373046875,50.5533203125,,,51.93721747248428,,55.792181199596776,,51.681837128429876,,,"Austin Gomber",16561,596295
2025,"Grant Holmes","ATL",114,38.52300142492138,38.425936312288854,,,38.39265823364258,38.498904001798564,40.51130346760797,,,36.50513756793478,,,"Grant Holmes",16944,656550
2025,"Trevor Williams","WSN",82.2,17.184871036770666,,,,15.431284586588541,16.02416480654762,,,,14.992981613323252,,,"Trevor Williams",16977,592866
2025,"Pablo López","MIN",75.2,34.60994701348748,,,,34.981403629954265,33.934241134129216,41.723207535282256,,,35.41044153792135,,,"Pablo Lopez",17085,641154
2025,"Ranger Suarez","PHI",157.1,34.68813448975989,37.30657582938389,,,35.90413388039568,35.79703057981005,40.8587438374682,,,36.84970618938578,,,"Ranger Suarez",17277,624133
2025,"Framber Valdez","HOU",192,41.09284834428267,,,,42.02446626867138,38.163635924622255,41.866971166405435,,,40.78057178012334,,,"Framber Valdez",17295,664285
2025,"Erick Fedde","- - -",120.2,,35.930481816681336,,,39.47805598594623,30.260636806488037,,,,30.176050866168477,,,"Erick Fedde",17425,607200
2025,"Jack Flaherty","DET",161,28.2721658345893,,,,27.720000542534724,27.18793500093423,,24.859530053098887,,23.063917371961807,,,"Jack Flaherty",17479,656427
2025,"Mitch Keller","PIT",176.1,37.7691641212406,38.33973185221354,,,36.07053097035794,37.11853490901899,44.49921875,,,39.192331025094695,,,"Mitch Keller",17594,656605
2025,"Jeffrey Springs","ATH",158.1,42.42540223448427,44.15871530812937,,,,42.31409254807692,,,,45.21694918291284,,,"Jeffrey Springs",17677,605488
2025,"Logan Webb","SFG",207,24.2178955078125,24.78917938585907,,,24.030987692831214,20.68922939934135,,,,19.26907379458649,,,"Logan Webb",17995,657277
2025,"Michael Soroka","- - -",83.1,30.74244152794003,,,,31.88565864837427,,35.344313952387594,,,33.658897606102194,,,"Michael Soroka",18383,647336
2025,"Dylan Cease","SDP",168,53.376790884584665,,,,54.7799714740954,48.344282013323465,,53.171065073164684,,60.376270967371326,,,"Dylan Cease",18525,656302
2025,"Freddy Peralta","MIL",176.2,41.41221702755905,,,,,34.62120449420103,39.92886071702454,,,31.52156786736641,,,"Freddy Peralta",18679,642547
2025,"Sandy Alcantara","MIA",174.2,31.234925717213116,,,,30.622326005520506,32.128638551946274,33.08816803622841,,,32.33277751865672,,,"Sandy Alcantara",18684,645261
2025,"Zac Gallen","ARI",192,44.69567465056617,40.50204702524039,,,45.81536310369318,41.676148541205755,,41.56879192849864,,35.612501559381236,,,"Zac Gallen",19291,668678
2025,"Cal Quantrill","- - -",117.2,47.78955107971042,43.30204892488119,43.897776918548146,,38.94174863339902,44.35377363725142,50.37252342094809,,,45.33082275390625,,,"Cal Quantrill",19312,615698
2025,"Eric Lauer","TOR",74,40.18450927734375,37.72606729277482,,,,40.179261818910255,39.56077336690512,,,35.35602438038793,,,"Eric Lauer",19316,641778
2025,"Dean Kremer","BAL",163.1,42.31459162445731,46.91184404481132,46.93130193280347,,34.08076838604418,48.89600118001302,47.29992414468654,,,,,,"Dean Kremer",19350,665152
2025,"Corbin Burnes","ARI",64.1,,40.42244965591155,,,39.86122241462629,39.82520067822802,45.689760188466494,,,37.89191927975171,,,"Corbin Burnes",19361,669203
2025,"Walker Buehler","- - -",120,43.850772059915634,43.83838253723663,,,34.30324600883152,44.18355243799468,,49.516957752740204,,36.1383916290713,,,"Walker Buehler",19374,621111
2025,"Aaron Civale","- - -",89,42.01651793953002,42.23448531894646,37.703953240507396,,38.33019886363636,42.404358794723734,47.27818731051772,,,,,,"Aaron Civale",19479,650644
2025,"Jason Alexander","HOU",68.1,27.71099853515625,25.000213623046875,,,19.322952665441175,20.377431412189328,,,,22.845786556810225,,,"Jason Alexander",19666,669920
2025,"Dustin May","- - -",124.2,26.49867172241211,25.820985501405424,,,17.72648135705175,19.884442426430677,,,,21.732735188802085,,,"Dustin May",19716,669160
2025,"Michael King","SDP",73.1,34.959408538510104,,,,23.514971245659723,27.991979858803987,,,,19.950047518558428,,,"Michael King",19853,650633
2025,"Griffin Canning","NYM",76.1,43.82620140388769,40.218802657781865,,,44.19597625732422,43.922541469194314,,41.62799984285201,,38.293704342532465,,,"Griffin Canning",19867,656288
2025,"Clarke Schmidt","NYY",78.2,40.3620263671875,36.735327935987904,,,28.14148681640625,28.469418006921824,,41.328865085482065,,,,,"Clarke Schmidt",19899,657376
2025,"Jesús Luzardo","PHI",183.2,34.336161909688414,,,,33.39103703799834,30.826238992697593,,,,32.003786288387715,,,"Jesus Luzardo",19959,666200
2025,"Joey Wentz","ATL",61,50.501221225910065,,,,,45.117443815616795,51.34486673893541,,,47.58394442471591,,,"Joey Wentz",19962,666214
2025,"Bailey Falter","- - -",121.1,55.39754212845204,,56.55328242860991,,54.923794037441034,53.263435088008286,55.5937255859375,,,,,,"Bailey Falter",20070,663559
2025,"Chris Paddack","- - -",145.1,50.28711929391736,47.287591665069016,,,44.10544794256037,47.98213884471792,49.11303981203874,,,40.77523402308559,,,"Chris Paddack",20099,663978
2025,"David Peterson","NYM",168.2,38.650767824263504,,,,41.29002666957487,36.99224049176357,44.770280827702706,,,41.34272154287439,,,"David Peterson",20302,656849
2025,"Casey Mize","DET",149,48.01533727372035,,43.39876359292619,,46.15947333916084,42.85213599376731,41.684230259486604,,,,,,"Casey Mize",20492,663554
2025,"Bowden Francis","TOR",64,38.82471085191706,,38.27499008178711,,39.24943542480469,41.78093187736742,41.055126953125,,,,,,"Bowden Francis",20548,670102
2025,"Yusei Kikuchi","LAA",178.1,34.28498641304348,,,,35.68652004665799,34.14722091282165,44.74779247636555,,,39.3571215950869,,,"Yusei Kikuchi",20633,579328
2025,"Cristopher Sánchez","PHI",202,,,,,30.469873193506007,31.13166945491164,,,,27.87686114958449,,,"Cristopher Sanchez",20778,650911
2025,"Luis Gil","NYY",57,38.20632319246436,,,,,37.80066796875,,,,23.29816073621725,,,"Luis Gil",21052,661563
2025,"Bailey Ober","MIN",146.1,31.710723586309523,,,,30.104676046489196,31.525960408834585,35.503933681530896,,,30.917243139684288,,,"Bailey Ober",21224,641927
2025,"Tylor Megill","NYM",68.1,35.269152621161226,,,,34.51589133522727,36.139608980429294,37.61662454044118,,,32.48401839009831,,,"Tylor Megill",21318,656731
2025,"Joe Ryan","MIN",166,25.51073938128592,,25.26778089960548,,23.403233949829932,24.800616643030793,31.695053998161764,,,,,,"Joe Ryan",21390,657746
2025,"Davis Martin","CHW",136.2,39.00582497035908,37.56740517652672,,,37.40795189315353,40.210123697916664,42.193734628182874,,,36.384736419392524,,,"Davis Martin",21448,663436
2025,"Kris Bubic","KCR",116.1,39.93202325475146,,,,35.98484658787393,36.64389394784902,,,,36.16160042576058,,,"Kris Bubic",21455,663460
2025,"Stephen Kolek","- - -",112.2,36.268979673032405,31.899491959508754,,,34.02371763187193,30.31627892602848,33.967376708984375,,,29.807681959502553,,,"Stephen Kolek",21487,663568
2025,"Jake Irvin","WSN",180,28.117319495776137,25.54661270015496,,,25.21632068740325,23.463995780653626,28.228116936639907,,,26.392847964638158,,,"Jake Irvin",21504,663623
2025,"Edward Cabrera","MIA",137.2,33.4610599956446,,,,33.14984038978495,32.58359776670951,41.5262292549435,,,36.45349205280172,,,"Edward Cabrera",21690,665795
2025,"Cole Ragans","KCR",61.2,38.68389732560861,35.252237955729164,,,,36.343133913590606,,40.7367137964221,,37.440064066274154,,,"Cole Ragans",21846,666142
2025,"José Soriano","LAA",169,34.07362627484309,,34.950714111328125,,34.4677734375,37.86094611672794,,41.070362580128204,,41.03077087402344,,,"Jose Soriano",22100,667755
2025,"Hunter Greene","CIN",107.2,36.33836292238648,,35.51303814827128,,,32.122375588175125,26.333911895751953,,,,,,"Hunter Greene",22182,668881
2025,"MacKenzie Gore","WSN",159.2,42.74059230699856,46.6006483493891,,,,43.744486674174176,51.158032407407404,,,42.70568974372837,,,"MacKenzie Gore",22201,669022
2025,"Logan Gilbert","SEA",131,42.27170915920716,,34.66597406914894,,35.87434488932292,41.142943050986844,40.25715438179348,,,,,,"Logan Gilbert",22250,669302
