Season,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
2025,"Clayton Kershaw","LAD",111.2,88.93492586490939,,,83.1247432748067,,89.27272727272727,85.6857548841632,72.32984250992064,58.599998474121094,46.29999923706055,,,,"Clayton Kershaw",2036,477132
2025,"Max Scherzer","TOR",85,93.59806773924332,,88.0925925925926,,,,86.34255675341946,76.72969933712122,,,84.88512620192307,,,"Max Scherzer",3137,453286
2025,"Charlie Morton","- - -",125.2,94.18702595026427,,87.89707269435975,,,94.00255180553404,,81.40989370752122,,,87.49162823513215,,,"Charlie Morton",4676,450203
2025,"Martín Pérez","CHW",52.2,89.64839024697581,,85.94867907072368,,,89.49583481297348,,76.2478275022645,,,82.1816650390625,,,"Martin Perez",6902,527048
2025,"Justin Verlander","SFG",152,93.92001425253379,,,,,93.30000305175781,85.53660049627791,78.50360925418815,,,84.67882530968468,,,"Justin Verlander",8700,434378
2025,"Nathan Eovaldi","TEX",130,94.11412217881944,,90.4945413961039,87.60714285714286,,93.34948856314433,85.7434771993886,75.83482952671504,,,,,,"Nathan Eovaldi",9132,543135
2025,"Patrick Corbin","TEX",154.1,91.45411879595588,,87.49782174844236,,,91.54986087328767,80.35685864825581,68.713330078125,,,81.46837439903847,,,"Patrick Corbin",9323,571578
2025,"Miles Mikolas","STL",156.1,92.91695045405983,,,,,92.4149528952206,87.00476430491551,76.14116097383722,69.23333231608073,,85.92762510926573,,,"Miles Mikolas",9803,571945
2025,"Zack Wheeler","PHI",149.2,96.07258218654434,,91.84805445995146,87.10235480542453,,95.43734643734643,83.72909494173729,81.14102564102564,,,,,,"Zack Wheeler",10310,554430
2025,"Chris Sale","ATL",120,94.83040404820767,,,,,93.83333333333333,79.11437908496733,,,,86.63093665692446,,,"Chris Sale",10603,519242
2025,"Jacob deGrom","TEX",172.2,97.49991557564422,,,,,,90.37202759409969,80.8917263862782,,,89.83457362288135,,,"Jacob deGrom",10954,594798
2025,"Merrill Kelly","- - -",184,91.8479923201196,,90.64165534907487,,,92.19579050164474,85.79035632138324,81.67299234432025,,,88.32087610123006,,,"Merrill Kelly",11156,518876
2025,"Jose Quintana","MIL",131.2,90.40984098179133,,,,,90.51318155073221,,78.29214553202479,,,85.58771158854167,,,"Jose Quintana",11423,500779
2025,"Robbie Ray","SFG",182.1,93.58194553291536,,,,,,87.78096701882102,,81.20404102088949,,84.84787163220551,,,"Robbie Ray",11486,592662
2025,"Jameson Taillon","CHC",129.2,92.25891978346456,,85.76609131704153,,,92.3029426125919,80.21070234113712,79.64448816636029,,,84.03212492929865,,,"Jameson Taillon",11674,592791
2025,"Taijuan Walker","PHI",103.2,92.03703703703704,,86.96436700295276,87.14015948834196,,91.8411571557971,83.48445595854922,74.9322033898305,,,,,,"Taijuan Walker",11836,592836
2025,"Kyle Hendricks","LAA",164.2,86.47347337372449,,,,,86.2011201629328,,72.24669719192217,,,79.45937025075987,,,"Kyle Hendricks",12049,543294
2025,"Chris Bassitt","TOR",169.1,91.47870870960077,,88.53907891281513,83.62558290939923,,91.5612422806644,76.27900752314815,71.28711790393012,,,84.46710526315789,,,"Chris Bassitt",12304,605135
2025,"Colin Rea","CHC",143.1,93.86652784842319,,88.30130123782467,87.37578810307018,,93.1107329667382,84.09912322598254,80.29765441607981,,,,,,"Colin Rea",12317,607067
2025,"Seth Lugo","KCR",145.1,91.7265857514881,,89.2358208955224,84.32142857142857,,91.27369716401734,82.47262351606145,78.932421875,71.13245699698464,,86.24166495339912,,,"Seth Lugo",12447,607625
2025,"Adrian Houser","- - -",125,95.24660412542421,,,,,94.42278301208286,88.11746508454624,81.69411720517535,,,85.84602076124567,,,"Adrian Houser",12718,605288
2025,"Nick Martinez","CIN",145,92.55361995341615,,88.99916118421052,,,92.42604851973684,84.84979762801204,79.70833333333333,,,78.42326447147651,,,"Nick Martinez",12730,607259
2025,"Sonny Gray","STL",180.2,91.72673009488449,,87.84302325581395,,,92.36807941331924,85.03609154929578,80.26982205734406,74.89999389648438,,86.19475811954149,,,"Sonny Gray",12768,543243
2025,"Tyler Anderson","LAA",136.1,89.28802141657334,,84.34488354645094,,,88.44470932904412,80.54024152057927,69.42000122070313,,,78.67559944968554,,,"Tyler Anderson",12880,542881
2025,"Yu Darvish","SDP",72,93.92848950763081,,90.7872340425532,86.36666349085365,,93.4040666285569,84.56137184115524,71.11564354923185,78.82142857142857,,88.0499979654948,,,"Yu Darvish",13074,506433
2025,"Eduardo Rodriguez","ARI",154.1,91.99156766528925,,89.32457386363636,,,91.55773259943182,84.14341085271317,78.62978931183511,,,85.92646798204159,,,"Eduardo Rodriguez",13164,593958
2025,"Blake Snell","LAD",61.1,95.12076241629464,,,,,,88.22894394188596,80.56906004764573,,,85.47037358539094,,,"Blake Snell",13543,605483
2025,"Clay Holmes","NYM",161,93.20271975977892,,89.79561574835526,,,93.71166207529843,83.16918703589108,,,,88.06674955463183,,,"Clay Holmes",13649,605280
2025,"Max Fried","NYY",195.1,95.80335513565892,,93.6415119696101,,,94.04518772686025,82.06579386876484,75.24916346601489,,,85.24691853005865,,,"Max Fried",13743,608331
2025,"Zach Eflin","BAL",71.1,91.96875,,88.46571269132653,,,91.69953198702831,79.19245037342768,78.06593406593407,,,86.56648543074324,,,"Zach Eflin",13774,621107
2025,"Michael Wacha","KCR",172.2,93.03535864637306,,88.14926638719513,,,93.22947505482456,84.7965091765873,75.12621359223301,,,79.8426883308715,,,"Michael Wacha",14078,608379
2025,"Kevin Gausman","TOR",193,94.45706004299754,,,84.86006898636764,,93.6500015258789,83.19886228612167,,,,,,,"Kevin Gausman",14107,592332
2025,"Lance McCullers Jr.","HOU",51.1,91.85999849759615,,89.11836336096938,,,91.53445049894958,82.86781609195403,,82.55680242233728,,86.7657764455214,,,"Lance McCullers Jr.",14120,621121
2025,"José Berríos","TOR",164,92.97473684210526,,89.56644479851974,,,92.14699143629808,,82.51734921993912,,,85.18951231060606,,,"Jose Berrios",14168,621244
2025,"Tyler Glasnow","LAD",90.1,95.73346379063098,,,,,95.93934426229508,89.31498470948013,81.96389130015432,,,,,,"Tyler Glasnow",14374,607192
2025,"Michael Lorenzen","KCR",140.2,93.92261904761905,,90.152,,,92.98037640366431,83.95522388059702,82.17087972940612,,,83.75213424185463,,,"Michael Lorenzen",14843,547179
2025,"Germán Márquez","COL",126.1,94.83664456602374,,,,,94.2810110100211,88.74342105263158,,85.47164395960365,,88.62453014445755,,,"German Marquez",15038,608566
2025,"Andrew Heaney","PIT",117,90.06149103969194,,,,,89.26355034722222,80.54882154882155,77.50449328476124,73.96783489947552,,81.97593976449275,,,"Andrew Heaney",15423,571760
2025,"Matthew Boyd","CHC",179.2,93.27868461010972,,,,,92.04158609220298,81.95024318321079,73.52733118971061,,,78.69646033653846,,,"Matthew Boyd",15440,571510
2025,"Nick Pivetta","SDP",181.2,93.75244140625,,90.15454391057312,87.32000122070312,,93.7849574806416,81.91490271226415,78.97758498236676,,,,,,"Nick Pivetta",15454,601713
2025,"Lucas Giolito","BOS",145,93.25959860383944,,,,,,85.97838025990099,78.63780249618902,,,81.6614217579588,,,"Lucas Giolito",15474,608337
