Season,Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
2025,"Clayton Kershaw","LAD",111.2,10.243459283618204,,,7.539407946399806,,9.40694219415838,4.9121704945755535,-8.285449993799602,-12.716442108154297,1.0932756662368774,,,,"Clayton Kershaw",2036,477132
2025,"Max Scherzer","TOR",85,9.412730955582344,,4.60892571343316,,,,2.3752740088929523,-3.742657285748106,,,2.83420660556891,,,"Max Scherzer",3137,453286
2025,"Charlie Morton","- - -",125.2,7.0901605765807805,,2.957993446908346,,,2.700986011170125,,-5.087270089205444,,,-2.0260677925815664,,,"Charlie Morton",4676,450203
2025,"Martín Pérez","CHW",52.2,8.487758513419859,,6.4397738272683664,,,5.664818041252367,,-1.8952981700067935,,,5.511146545410156,,,"Martin Perez",6902,527048
2025,"Justin Verlander","SFG",152,11.224782582875845,,,,,9.494537353515625,2.753453408518145,-6.621095637685245,,,5.885171426309122,,,"Justin Verlander",8700,434378
2025,"Nathan Eovaldi","TEX",130,7.51260319462529,,6.670755123782468,0.35819264662226175,,5.622896489408827,2.183808202328889,-4.8985173771438,,,,,,"Nathan Eovaldi",9132,543135
2025,"Patrick Corbin","TEX",154.1,8.83523308249081,,3.984111465026285,,,6.670716502568493,0.6636705265488736,-1.5905042012532553,,,5.4948260967548075,,,"Patrick Corbin",9323,571578
2025,"Miles Mikolas","STL",156.1,8.877775969328704,,,,,5.570860021254596,3.830112627208141,-8.444827057594477,-7.49229113260905,,4.288123070776879,,,"Miles Mikolas",9803,571945
2025,"Zack Wheeler","PHI",149.2,8.373278821037207,,5.286077110512743,2.674950941553656,,4.451041106802825,1.4966344456214689,-5.864277114216079,,,,,,"Zack Wheeler",10310,554430
2025,"Chris Sale","ATL",120,5.2007481748300375,,,,,0.8083591184754303,-1.8525527588422521,,,,-0.431756959544669,,,"Chris Sale",10603,519242
2025,"Jacob deGrom","TEX",172.2,9.642914198877806,,,,,,1.7165471462121693,-2.974224119258106,,,1.4966698598053496,,,"Jacob deGrom",10954,594798
2025,"Merrill Kelly","- - -",184,8.528050363799672,,6.9083619634789155,,,3.6146114148591693,2.2112189743119446,-5.647730249558052,,,0.3591297890277619,,,"Merrill Kelly",11156,518876
2025,"Jose Quintana","MIL",131.2,9.150377168430119,,,,,7.13606191978295,,-2.2580596671616737,,,2.4920316060384113,,,"Jose Quintana",11423,500779
2025,"Robbie Ray","SFG",182.1,10.61495028409091,,,,,,5.483156377618963,,-2.7497344723930257,,7.066714026276629,,,"Robbie Ray",11486,592662
2025,"Jameson Taillon","CHC",129.2,10.640459676427165,,4.917475822475129,,,8.498739803538603,-0.09925983263098676,-5.196077234604779,,,4.799752213836256,,,"Jameson Taillon",11674,592791
2025,"Taijuan Walker","PHI",103.2,10.218037169656636,,7.529986524206447,2.7236660181549546,,7.592091966711957,3.7457778219114313,-5.84738417803231,,,,,,"Taijuan Walker",11836,592836
2025,"Kyle Hendricks","LAA",164.2,8.186175287986288,,,,,4.267767072937882,,-6.048769393057193,,,5.066846544136271,,,"Kyle Hendricks",12049,543294
2025,"Chris Bassitt","TOR",169.1,6.232154527091255,,4.611197848279937,-0.33453925081001695,,2.7482791621193567,-0.4878087298860275,-6.966769689035208,,,2.1968158922697367,,,"Chris Bassitt",12304,605135
2025,"Colin Rea","CHC",143.1,8.050471293234995,,4.545043548980317,0.13866641395970394,,4.76783955455338,0.19364675996605485,-4.355243235126907,,,,,,"Colin Rea",12317,607067
2025,"Seth Lugo","KCR",145.1,8.801054454985119,,6.163498425839553,2.3286440713065013,,5.192214172010477,2.2201134026383555,-6.125391364820076,-2.693923147101151,,2.6892558315344024,,,"Seth Lugo",12447,607625
2025,"Adrian Houser","- - -",125,8.726026440098275,,,,,4.29168455345584,2.780103134782347,-6.815609478842619,,,2.9131481342249677,,,"Adrian Houser",12718,605288
2025,"Nick Martinez","CIN",145,10.434244791666666,,6.7663420024671055,,,8.541250128495065,1.3657677585341366,-9.428433857266866,,,3.154284586042366,,,"Nick Martinez",12730,607259
2025,"Sonny Gray","STL",180.2,5.968285085344472,,1.3279038362724835,,,4.9836436104320825,-1.8781972535898988,-7.936825543102364,-8.489799499511719,,4.027730217146561,,,"Sonny Gray",12768,543243
2025,"Tyler Anderson","LAA",136.1,11.420756272746361,,7.858337274921712,,,6.154440487132353,3.3022941031107087,-6.839070129394531,,,7.304118759827044,,,"Tyler Anderson",12880,542881
2025,"Yu Darvish","SDP",72,8.393704436546148,,6.115439124141179,0.8469365437825521,,4.131539941803227,1.2321377420253272,-8.27632490616271,-6.5893129621233255,,4.499232927958171,,,"Yu Darvish",13074,506433
2025,"Eduardo Rodriguez","ARI",154.1,8.673273663481405,,5.585072510365479,,,7.3164450905539775,1.5348799358042635,-4.013452732816655,,,3.8426585206462667,,,"Eduardo Rodriguez",13164,593958
2025,"Blake Snell","LAD",61.1,10.552047729492188,,,,,,5.417120682565789,-3.2971580060608185,,,6.139185273598251,,,"Blake Snell",13543,605483
2025,"Clay Holmes","NYM",161,8.143170207536139,,3.1317757054379114,,,2.18556099883781,-2.7562769521581063,,,,0.8251550814884575,,,"Clay Holmes",13649,605280
2025,"Max Fried","NYY",195.1,8.762260653867894,,5.353712729357798,,,2.846019710256919,-1.746438649374629,-9.73581529329609,,,2.1998795763837977,,,"Max Fried",13743,608331
2025,"Zach Eflin","BAL",71.1,6.663081275092231,,4.783113440688775,,,1.571470728460348,1.3147172268081762,-3.9085381476433723,,,0.8190407417915962,,,"Zach Eflin",13774,621107
2025,"Michael Wacha","KCR",172.2,10.67908031088083,,5.6466784965701216,,,9.03143588952851,2.6906488327752975,-6.679425582145024,,,4.663283557976366,,,"Michael Wacha",14078,608379
2025,"Kevin Gausman","TOR",193,9.976845031288391,,,2.910666862494503,,11.034936904907227,1.279991585038914,,,,,,,"Kevin Gausman",14107,592332
2025,"Lance McCullers Jr.","HOU",51.1,6.794737361027644,,3.5718168920400193,,,2.5031592104615283,2.8559000300264907,,-5.495302098742603,,-1.425495004908924,,,"Lance McCullers Jr.",14120,621121
2025,"José Berríos","TOR",164,8.814927014802631,,5.8190773411800985,,,6.4144427959735575,,-2.402806390910388,,,2.6931143807364513,,,"Jose Berrios",14168,621244
2025,"Tyler Glasnow","LAD",90.1,9.668199353190726,,,,,8.320742347592214,0.24369406043936354,-8.879073531539351,,,,,,"Tyler Glasnow",14374,607192
2025,"Michael Lorenzen","KCR",140.2,8.753467378162203,,4.90572265625,,,4.904921367095153,-0.04968931527534273,-6.7487367359614465,,,5.277805720355577,,,"Michael Lorenzen",14843,547179
2025,"Germán Márquez","COL",126.1,8.387808327151335,,,,,6.5469800731803796,3.618084288479989,,-0.02113219150682775,,5.10817444999263,,,"German Marquez",15038,608566
2025,"Andrew Heaney","PIT",117,7.039953439721564,,,,,1.5490386284722222,-0.20836054997813422,-1.9361013348182936,-4.3314226057145975,,2.6999734629755436,,,"Andrew Heaney",15423,571760
2025,"Matthew Boyd","CHC",179.2,7.475875232660658,,,,,5.1895691522277225,0.09185395521276138,-5.161031545166801,,,3.2025544621394233,,,"Matthew Boyd",15440,571510
2025,"Nick Pivetta","SDP",181.2,11.733273389862806,,6.542561044806077,8.317027282714843,,11.13507782252489,2.0812023234817216,-9.36252969484718,,,,,,"Nick Pivetta",15454,601713
2025,"Lucas Giolito","BOS",145,10.713866335351222,,,,,,3.069802665080961,-8.41275917611471,,,7.449636166461844,,,"Lucas Giolito",15474,608337
2025,"Antonio Senzatela","COL",108,6.875087124693628,,,,,7.676055036272321,2.278576909279337,-2.9158490549520666,,,4.213312002328726,,,"Antonio Senzatela",15488,622608
2025,"Luis Castillo","SEA",180.2,6.9664544439935066,,,,,2.129612687535892,-0.20942213186881029,,,,-0.2389777239631204,,,"Luis Castillo",15689,622491
2025,"Zack Littell","- - -",186.2,9.337176246700603,,,-0.23386951756915395,,7.278115947594803,3.274323374097903,,,,,,,"Zack Littell",15823,641793
2025,"Sean Manaea","NYM",51.1,6.241869631555153,,,,,3.2049419403076174,2.1454375014841376,,,,1.5958423614501953,,,"Sean Manaea",15873,640455
2025,"Luis Severino","ATH",162.2,9.606702064362583,,5.5186253193789305,,,7.244773327464789,1.6113464510774491,,,,4.407943409886854,,,"Luis Severino",15890,622663
2025,"Carlos Rodón","NYY",195.1,10.597671508789062,,4.461210632324219,,,4.178860661281351,-0.007834779733112581,-7.292085241098873,,,2.5643486949060694,,,"Carlos Rodon",16137,607074
2025,"Aaron Nola","PHI",94.1,8.404177117598683,,4.783963676120924,,,5.118075442059609,,,-6.034529070363786,,1.7328550974527994,,,"Aaron Nola",16149,605400
2025,"Brandon Woodruff","MIL",64.2,10.301779113359899,,7.6081785492549665,,,8.181727759364477,2.122332731882731,-5.147103203667535,,,4.994084257238051,,,"Brandon Woodruff",16162,605540
2025,"Kyle Freeland","COL",162.2,8.82169321818524,,3.6202880230146586,,,4.817373046875,-1.7202666660524764,,-3.5113596975067516,,4.09482496611926,,,"Kyle Freeland",16256,607536
2025,"Tyler Mahle","TEX",86.2,10.541048462627923,,4.502572839910334,4.056487957429014,,,1.8617312666298687,,,,,,,"Tyler Mahle",16358,641816
2025,"Austin Gomber","COL",57.2,9.664239021501457,,5.395636749267578,1.5399949815538194,,,2.2664326601808176,,-5.751517018964214,,6.413290628572789,,,"Austin Gomber",16561,596295
2025,"Grant Holmes","ATL",114,8.924598933765724,,6.216285911766258,,,4.465129852294922,-1.4379490255451888,-5.4747667280938535,,,0.9835035075312075,,,"Grant Holmes",16944,656550
2025,"Trevor Williams","WSN",82.2,5.6137632002127225,,,,,2.5963294982910154,3.611387416294643,,,,0.2883392867221627,,,"Trevor Williams",16977,592866
2025,"Pablo López","MIN",75.2,8.235705307683045,,,,,4.434987137957317,0.12045705273803253,-6.39990234375,,,1.7854168495435394,,,"Pablo Lopez",17085,641154
2025,"Ranger Suarez","PHI",157.1,6.663145938162076,,3.5396725622963565,,,3.038820115782374,3.166139191272212,-5.0127922232824424,,,2.0095675238247575,,,"Ranger Suarez",17277,624133
2025,"Framber Valdez","HOU",192,4.915625485506925,,,,,3.847958738698899,-1.209269764659169,-8.312586737526123,,,0.8890750313167102,,,"Framber Valdez",17295,664285
2025,"Erick Fedde","- - -",120.2,,,5.3608516639387105,,,5.7955160300824895,2.620725095272064,,,,1.8849197719408117,,,"Erick Fedde",17425,607200
2025,"Jack Flaherty","DET",161,9.185464452241899,,,,,4.931098090277778,1.807682875560538,,-4.9734553175052225,,3.955529954698351,,,"Jack Flaherty",17479,656427
2025,"Mitch Keller","PIT",176.1,8.803840350387688,,5.371276219685872,,,5.544897297084732,0.04064407429111658,-8.054913620721726,,,1.548570575136127,,,"Mitch Keller",17594,656605
2025,"Jeffrey Springs","ATH",158.1,9.320802488527098,,4.784510472437718,,,,1.1471759929523602,,,,4.020143094777332,,,"Jeffrey Springs",17677,605488
