Season,Name,Team,IP,FA-SPN,FC-SPN,FS-SPN,FO-SPN,SI-SPN,SL-SPN,CU-SPN,KC-SPN,EP-SPN,CH-SPN,SC-SPN,KN-SPN,NameASCII,PlayerId,MLBAMID
2025,"Tyler Glasnow","LAD",90.1,2529.5869980879543,,,,2512.3311475409837,2667.2721712538228,2821.5246913580245,,,,,,"Tyler Glasnow",14374,607192
2025,"Michael Lorenzen","KCR",140.2,2339.839285714286,2520.556,,,2197.4869976359337,2569.409381663113,2530.264367816092,,,1982.1829573934838,,,"Michael Lorenzen",14843,547179
2025,"Germán Márquez","COL",126.1,2204.097922848665,,,,2156.2763713080167,2328.2105263157896,,2652.391768292683,,1667.2075471698113,,,"German Marquez",15038,608566
2025,"Andrew Heaney","PIT",117,2374.462085308057,,,,2365.0755555555556,2470.979797979798,2601.0112359550562,2529.6503496503497,,2107.0753623188407,,,"Andrew Heaney",15423,571760
2025,"Matthew Boyd","CHC",179.2,2318.568181818182,,,,2280.7227722772277,2484.9142156862745,2326.0675241157555,,,1817.7784615384614,,,"Matthew Boyd",15440,571510
2025,"Nick Pivetta","SDP",181.2,2322.7911585365855,2348.6719367588935,1456.2,,2296.8141592920356,2443.21320754717,2796.7633228840127,,,,,,"Nick Pivetta",15454,601713
2025,"Lucas Giolito","BOS",145,2231.2242582897034,,,,,1966.4026402640263,2471.048780487805,,,1672.6685393258426,,,"Lucas Giolito",15474,608337
2025,"Antonio Senzatela","COL",108,2218.7,,,,2222.457142857143,2289.1964285714284,2447.4900398406376,,,2197.8076923076924,,,"Antonio Senzatela",15488,622608
2025,"Luis Castillo","SEA",180.2,2167.692640692641,,,,1997.6646248085758,2230.614121510673,,,,1900.6588235294118,,,"Luis Castillo",15689,622491
2025,"Zack Littell","- - -",186.2,1956.4343891402716,,1061.1115485564305,,1954.847191011236,2133.9651416122006,,,,,,,"Zack Littell",15823,641793
2025,"Sean Manaea","NYM",51.1,2045.113924050633,,,,1969.4,2289.322188449848,,,,1567.5535714285713,,,"Sean Manaea",15873,640455
2025,"Luis Severino","ATH",162.2,2282.291390728477,2287.1907756813416,,,2128.8098591549297,2567.0127226463105,,,,1597.4551724137932,,,"Luis Severino",15890,622663
2025,"Carlos Rodón","NYY",195.1,2343.6316964285716,2382.8,,,2248.964401294498,2621.2957283680175,2718.6311475409834,,,1649.7437379576108,,,"Carlos Rodon",16137,607074
2025,"Aaron Nola","PHI",94.1,2316.738947368421,2277.2347826086957,,,2224.5516014234877,,,2612.459518599562,,1597.775,,,"Aaron Nola",16149,605400
2025,"Brandon Woodruff","MIL",64.2,2343.4093959731545,2372.066225165563,,,2289.3905723905723,2428.6666666666665,2548.5833333333335,,,1907.9764705882353,,,"Brandon Woodruff",16162,605540
2025,"Kyle Freeland","COL",162.2,2401.1614457831324,2371.9484536082473,,,2272.6866666666665,2336.1100628930817,,2395.026234567901,,1487.1700680272108,,,"Kyle Freeland",16256,607536
2025,"Tyler Mahle","TEX",86.2,2333.497076023392,2448.0852272727275,1733.2532637075717,,,2448.6666666666665,,,,,,,"Tyler Mahle",16358,641816
2025,"Austin Gomber","COL",57.2,2100.606413994169,2384.8,910.4888888888889,,,2354.119496855346,,2529.8508064516127,,1661.25,,,"Austin Gomber",16561,596295
2025,"Grant Holmes","ATL",114,2319.569182389937,2541.2905405405404,,,2419.5,2843.8474820143883,2903.6378737541527,,,1478.304347826087,,,"Grant Holmes",16944,656550
2025,"Trevor Williams","WSN",82.2,2218.7260940032415,,,,1936.8,2225.3942857142856,,,,1485.6344086021506,,,"Trevor Williams",16977,592866
2025,"Pablo López","MIN",75.2,2167.063583815029,,,,2042.8536585365853,2410.6067415730336,2602.6935483870966,,,1795.9325842696628,,,"Pablo Lopez",17085,641154
2025,"Ranger Suarez","PHI",157.1,1951.084745762712,2111.201421800948,,,1980.1007194244605,2162.9901960784314,2108.5445292620866,,,1286.9655172413793,,,"Ranger Suarez",17277,624133
2025,"Framber Valdez","HOU",192,2270.181818181818,,,,2202.5275157232704,2537.186813186813,2942.7586206896553,,,1707.6698292220115,,,"Framber Valdez",17295,664285
2025,"Erick Fedde","- - -",120.2,,2136.1021126760565,,,1974.1424581005588,2423.873046875,,,,1815.3521739130435,,,"Erick Fedde",17425,607200
2025,"Jack Flaherty","DET",161,2191.5584024114546,,,,1979.9333333333334,2362.784753363229,,2298.9220055710307,,1668.3194444444443,,,"Jack Flaherty",17479,656427
2025,"Mitch Keller","PIT",176.1,2404.8214285714284,2427.3333333333335,,,2465.250559284116,2636.6012658227846,2612.3952380952383,,,2030.8232323232323,,,"Mitch Keller",17594,656605
2025,"Jeffrey Springs","ATH",158.1,2169.638986013986,2204.4965034965035,,,,2245.0265734265736,,,,1394.6987767584098,,,"Jeffrey Springs",17677,605488
2025,"Logan Webb","SFG",207,2118.0078125,2224.895752895753,,,1958.6778584392014,2542.59793814433,,,,1502.3068181818182,,,"Logan Webb",17995,657277
2025,"Michael Soroka","- - -",83.1,2527.1682242990655,,,,2372.1079136690646,,2913.45306122449,,,2209.114864864865,,,"Michael Soroka",18383,647336
2025,"Dylan Cease","SDP",168,2547.9400958466454,,,,2494.1118421052633,2775.5136935603255,,2747.1825396825398,,1681.264705882353,,,"Dylan Cease",18525,656302
2025,"Freddy Peralta","MIL",176.2,2440.754694124773,,,,,2453.498281786942,2336.3374233128834,,,1929.3145038167938,,,"Freddy Peralta",18679,642547
2025,"Sandy Alcantara","MIA",174.2,2290.9131147540984,,,,2324.0552050473184,2352.504385964912,2441.8963531669865,,,2088.2358208955225,,,"Sandy Alcantara",18684,645261
2025,"Zac Gallen","ARI",192,2319.9511677282376,2338.3241758241757,,,2167.064935064935,2379.6548672566373,,2441.282608695652,,1517.508982035928,,,"Zac Gallen",19291,668678
2025,"Cal Quantrill","- - -",117.2,2136.6723716381416,2305.8571428571427,1125.299043062201,,2101.948948948949,2440.5878787878787,2523.7457627118642,,,1712.6,,,"Cal Quantrill",19312,615698
2025,"Eric Lauer","TOR",74,2237.3055555555557,2364.1347517730496,,,,2284.051282051282,2390.5060240963853,,,915.8045977011494,,,"Eric Lauer",19316,641778
2025,"Dean Kremer","BAL",163.1,2276.1143270622288,2401.488679245283,1133.5838150289017,,2159.1947791164657,2470.6666666666665,2772.5504587155965,,,,,,"Dean Kremer",19350,665152
2025,"Corbin Burnes","ARI",64.1,,2661.51083032491,,,2495.8453608247423,2849.3296703296705,2810.855670103093,,,2176.027397260274,,,"Corbin Burnes",19361,669203
2025,"Walker Buehler","- - -",120,2257.0855513307984,2418.5665722379604,,,2126.895652173913,2585.9235807860264,,2434.533582089552,,1562.3661971830986,,,"Walker Buehler",19374,621111
2025,"Aaron Civale","- - -",89,2435.1338582677167,2621.9685658153244,1808.3333333333333,,2259.6981818181816,2868.5072463768115,3125.5783582089553,,,,,,"Aaron Civale",19479,650644
2025,"Jason Alexander","HOU",68.1,2265.901785714286,2148.5714285714284,,,2061.6023529411764,2651.7894736842104,,,,1772.1904761904761,,,"Jason Alexander",19666,669920
2025,"Dustin May","- - -",124.2,2344.634375,2496.2433862433863,,,2413.7973760932946,3185.346153846154,,,,1355.6,,,"Dustin May",19716,669160
2025,"Michael King","SDP",73.1,2367.6363636363635,,,,2288.1194444444445,2712.4152823920267,,,,2014.2528735632184,,,"Michael King",19853,650633
2025,"Griffin Canning","NYM",76.1,2148.2721382289415,2434.4117647058824,,,2204.75,2739.225118483412,,2508.32183908046,,1486.7857142857142,,,"Griffin Canning",19867,656288
2025,"Clarke Schmidt","NYY",78.2,2614.69,2744.7137096774195,,,2602.77,3088.983713355049,,3112.183856502242,,,,,"Clarke Schmidt",19899,657376
2025,"Jesús Luzardo","PHI",183.2,2238.4362220058424,,,,2232.7408637873755,2302.548969072165,,,,1924.8080614203454,,,"Jesus Luzardo",19959,666200
2025,"Joey Wentz","ATL",61,2297.049250535332,,,,,2510.0236220472443,2534.904306220096,,,1927.9272727272728,,,"Joey Wentz",19962,666214
2025,"Bailey Falter","- - -",121.1,2125.318604651163,,937.7862068965517,,2073.0377358490564,2044.5271084337348,1873.5269230769231,,,,,,"Bailey Falter",20070,663559
2025,"Chris Paddack","- - -",145.1,2242.312096029548,2030.8220858895706,,,2130.534090909091,1983.6946902654868,2112.0959409594097,,,1807.945945945946,,,"Chris Paddack",20099,663978
2025,"David Peterson","NYM",168.2,2131.707037643208,,,,2123.333756345178,2314.2383720930234,2361.2,,,1566.6400966183576,,,"David Peterson",20302,656849
2025,"Casey Mize","DET",149,2251.0848938826466,,1445.4042179261862,,2215.1923076923076,2189.434903047091,2256.0059523809523,,,,,,"Casey Mize",20492,663554
2025,"Bowden Francis","TOR",64,2253.5539906103286,,1017.47265625,,2132.25,2433.7272727272725,2195.05,,,,,,"Bowden Francis",20548,670102
2025,"Yusei Kikuchi","LAA",178.1,2185.468085106383,,,,2156.6944444444443,2295.8145519077198,2525.6512605042017,,,1541.211229946524,,,"Yusei Kikuchi",20633,579328
2025,"Cristopher Sánchez","PHI",202,,,,,2137.231231231231,2088.3367983367984,,,,2041.3942751615882,,,"Cristopher Sanchez",20778,650911
2025,"Luis Gil","NYY",57,2467.7596741344196,,,,,2654.296,,,,1732.0349344978165,,,"Luis Gil",21052,661563
2025,"Bailey Ober","MIN",146.1,2288.0714285714284,,,,2135.432098765432,2056.4345864661655,2087.2022471910113,,,2028.7342143906021,,,"Bailey Ober",21224,641927
2025,"Tylor Megill","NYM",68.1,2295.0057581573897,,,,2197.4338842975208,2549.198653198653,2502.1882352941175,,,1496.3033707865168,,,"Tylor Megill",21318,656731
2025,"Joe Ryan","MIN",166,2294.5510057471265,,2015.8471760797343,,2148.639455782313,2595.4716369529983,2821.274509803922,,,,,,"Joe Ryan",21390,657746
2025,"Davis Martin","CHW",136.2,2412.460704607046,2581.0362595419847,,,2382.228215767635,2746.9777777777776,2798.759259259259,,,2064.022429906542,,,"Davis Martin",21448,663436
2025,"Kris Bubic","KCR",116.1,2417.4590643274855,,,,2251.3675213675215,2608.375,,,,1605.1666666666667,,,"Kris Bubic",21455,663460
2025,"Stephen Kolek","- - -",112.2,2176.625,2354.058365758755,,,2148.027027027027,2532.7544303797467,2243.5,,,1467.9591836734694,,,"Stephen Kolek",21487,663568
2025,"Jake Irvin","WSN",180,2331.9704329461456,2463.8512396694214,,,2290.159442724458,2490.8396946564885,2485.689220183486,,,2198.8552631578946,,,"Jake Irvin",21504,663623
2025,"Edward Cabrera","MIA",137.2,2334.5226480836236,,,,2309.298924731183,2548.2699228791776,2631.114877589454,,,1748.801724137931,,,"Edward Cabrera",21690,665795
2025,"Cole Ragans","KCR",61.2,2573.1404494382023,2585.549019607843,,,,2651.496644295302,,2462.282608695652,,2069.9613526570047,,,"Cole Ragans",21846,666142
2025,"José Soriano","LAA",169,2225.092050209205,,1478.578125,,1922.0745614035088,2427.5882352941176,,2489.203778677463,,1221.2,,,"Jose Soriano",22100,667755
2025,"Hunter Greene","CIN",107.2,2438.531151003168,,1307.7553191489362,,,2423.978723404255,2447.5,,,,,,"Hunter Greene",22182,668881
2025,"MacKenzie Gore","WSN",159.2,2260.1962481962482,1966.233082706767,,,,2096.234234234234,2344.44,,,2092.7439446366784,,,"MacKenzie Gore",22201,669022
2025,"Logan Gilbert","SEA",131,2063.653452685422,,698.0236406619385,,2017.9666666666667,1783.911842105263,2155.44099378882,,,,,,"Logan Gilbert",22250,669302
2025,"Shane Baz","TBR",166.1,2445.4882747068677,2308.4475,,,,2330.8414634146343,,2687.9890560875515,,2100.250803858521,,,"Shane Baz",22264,669358
2025,"Tarik Skubal","DET",195.1,2353.854934601665,,941.3333333333334,,2248.5437037037036,2232.9129213483147,2504.481012658228,,,1837.2983240223464,,,"Tarik Skubal",22267,669373
2025,"Trevor Rogers","BAL",109.2,2410.5317220543807,,,,2342.0731707317073,2137.9424920127794,,,,1478.2487684729065,,,"Trevor Rogers",22286,669432
2025,"Matthew Liberatore","STL",151.2,2112.5417256011315,2501.804,,,2100.7176470588233,2688.470238095238,2963.816489361702,,,1803.3277027027027,,,"Matthew Liberatore",22294,669461
2025,"Taj Bradley","- - -",142.2,2300.5189393939395,2175.484555984556,1699.471590909091,,2151.181818181818,,2557.3402985074626,,,,,,"Taj Bradley",22543,671737
2025,"Keider Montero","DET",58,2194.632107023411,,,,2175.224598930481,2710.744394618834,,2898.2622950819673,,1875.9823008849557,,,"Keider Montero",22630,672456
2025,"Janson Junk","MIA",87.1,2289.124,,,,,2373.2064056939503,2503.896103896104,,,1440.304761904762,,,"Janson Junk",23301,676083
2025,"Joey Cantillo","CLE",67,1856.4,,,,,2016.7745098039215,2653.0213675213677,,,1521.3074433656957,,,"Joey Cantillo",23335,676282
2025,"JP Sears","- - -",135.2,2018.6233090530698,2118.375,,,1889.171052631579,2310.3246268656717,2355.7586206896553,,,1506.276836158192,,,"JP Sears",23429,676664
2025,"Ben Brown","CHC",75.2,2209.729023383769,,,,,,,2296.66452991453,,1330.232142857143,,,"Ben Brown",23590,676962
2025,"Brayan Bello","BOS",161.2,2160.345,2477.6167076167076,,,2119.7675438596493,2475.08431372549,,,,1840.6256157635469,,,"Brayan Bello",23920,678394
2025,"Simeon Woods Richardson","MIN",107,2246.9975247524753,,1073.2245989304813,,,2285.6700610997964,2561.413043478261,,,2311.883116883117,,,"Simeon Woods Richardson",24494,680573
2025,"Randy Vásquez","SDP",129,2372.507177033493,2510.508604206501,,,2332.077889447236,2953.5440251572327,3055.6937269372693,,,2063.5384615384614,,,"Randy Vasquez",24719,681190
2025,"Mike Burrows","PIT",86.2,2301.9154411764707,,,,2159.7027027027025,2534.6739130434785,2891.3963414634145,,,1510.2282282282283,,,"Mike Burrows",24728,681347
2025,"Reese Olson","DET",68.2,2028.7417840375588,,,,2036.6360856269114,2699.1176470588234,2227.609375,,,1848.7633333333333,,,"Reese Olson",24968,681857
2025,"Jacob Lopez","ATH",84,2132.9279112754157,2190.9904761904763,,,2077.4347826086955,2372.3774834437086,,,,2131.4162679425835,,,"Jacob Lopez",25098,682052
2025,"Brady Singer","CIN",169.2,2442.4093959731545,2349.210144927536,,,2361.9438687392053,2429.5080500894455,,,,,,,"Brady Singer",25377,663903
2025,"Drew Rasmussen","TBR",150,2480.6963414634147,2703.9506172839506,,,2417.7457305502844,2703.9464285714284,2764.87,,,1096.857142857143,,,"Drew Rasmussen",25385,656876
2025,"George Kirby","SEA",126,2282.908940397351,,918.2857142857143,,2255.5143884892086,2369.199649737303,,2376.7747035573125,,1423.3695652173913,,,"George Kirby",25436,669923
2025,"Hunter Brown","HOU",185.1,2273.2453333333333,2259.951219512195,,,2181.4573170731705,2198.1908396946565,,2574.2830188679245,,1501.3651685393259,,,"Hunter Brown",25880,686613
2025,"Quinn Priester","MIL",130.2,,2350.466377440347,,,2040.158787878788,2463.5276292335116,2656.5738636363635,,,1415.3939393939395,,,"Quinn Priester",25977,682990
2025,"Brandon Walter","HOU",53.2,2179.356687898089,2303.4215246636772,,,2104.549019607843,2555.3551912568305,,,,2076.5906040268455,,,"Brandon Walter",26056,687888
2025,"Andre Pallante","STL",162.2,2303.4766277128547,,,,2202.3888888888887,2405.0256081946222,,2804.1049868766404,,,,,"Andre Pallante",26108,669467
2025,"Ryan Pepiot","TBR",167.2,2359.544782251438,2290.10582010582,,,1884.060606060606,2529.682505399568,2814.7078651685392,,,2428.1896296296295,,,"Ryan Pepiot",26221,686752
2025,"Ryne Nelson","ARI",128,2268.2617554858934,2216.191964285714,,,,2400.4417670682733,2599.2112068965516,,,1786.2790697674418,,,"Ryne Nelson",26253,669194
2025,"Nick Lodolo","CIN",155.2,2290.81512605042,,,,2296.5180722891564,,2568.901569186876,,,1833.31843575419,,,"Nick Lodolo",26378,666157
2025,"Bradley Blalock","COL",55.2,2103.1597374179432,2352.785714285714,1317.903448275862,,,2528.7581699346406,2512.7804878048782,,,,,,"Bradley Blalock",26419,687134
2025,"Ryan Gusto","- - -",81.2,2421.8081494057724,2406.8034682080925,,,2336.0604026845635,2236.8698630136987,2435.6137339055795,,,1775.8394160583941,,,"Ryan Gusto",26440,687473
2025,"Garrett Crochet","BOS",205.1,2436.1491228070176,2584.5011415525114,,,2379.9236947791164,2377.894422310757,,,,1698.313432835821,,,"Garrett Crochet",27463,676979
2025,"Emerson Hancock","SEA",81.1,2389.9615384615386,,,,2383.064777327935,2488.2758620689656,,,,1652.7900763358778,,,"Emerson Hancock",27470,676106
2025,"Max Meyer","MIA",64.2,2469.155844155844,,,,2397.5985915492956,2553.650205761317,,,,1783.5333333333333,,,"Max Meyer",27474,676974
2025,"Spencer Strider","ATL",125.1,2300.18316373728,,,,,2285.190860215054,2661.877659574468,,,1956.8762886597938,,,"Spencer Strider",27498,675911
2025,"Slade Cecconi","CLE",132,2393.9666295884317,2299.0178571428573,,,2266.2907488986784,2565.497409326425,2397.6029411764707,,,1617.9806451612903,,,"Slade Cecconi",27500,677944
2025,"Logan Allen","CLE",155.2,2228.9845303867405,2271.29392971246,,,1962.9521126760562,2299.6124401913876,,,,959.5506072874493,,,"Logan Allen",27589,671106
2025,"Mitchell Parker","WSN",158.1,2168.856946354883,,975.4583333333334,,,2265.3603896103896,2279.551304347826,,,,,,"Mitchell Parker",27636,680730
2025,"Luis Ortiz","CLE",88.2,2279.1632653061224,2337.7445652173915,,,2292.692832764505,2389.1619537275064,,,,1461.9175257731958,,,"Luis Ortiz",27646,682847
2025,"Tanner Gordon","COL",75.1,2250.03500761035,,,,,2100.1157556270095,2170.230769230769,,,2106.4296577946766,,,"Tanner Gordon",27669,685299
2025,"Jack Kochanowicz","LAA",111,2250.5098591549295,,,,2135.6915995397007,2761.6310160427806,,,,2109.727969348659,,,"Jack Kochanowicz",27688,686799
2025,"Eury Pérez","MIA",95.1,2684.5417633410675,,,,2372.285714285714,2503.035087719298,2831.424836601307,,,1741.9236641221373,,,"Eury Perez",27768,691587
2025,"Bryce Elder","ATL",156.1,2226.1,,,,2092.804347826087,2491.408833522084,,,,2175.4752851711028,,,"Bryce Elder",27779,693821
2025,"Brandon Pfaadt","ARI",176.2,2564.202919708029,2755.862068965517,,,2411.5278592375366,2833.830882352941,2673.031141868512,,,2114.9106753812634,,,"Brandon Pfaadt",27782,694297
2025,"Brandon Young","BAL",57.2,2210.4514563106795,2066.5697674418607,1536.5748502994013,,,2063.2023809523807,2721.9594594594596,,,1773.1162790697674,,,"Brandon Young",27819,687064
2025,"J.T. Ginn","ATH",75,1999.6666666666667,2022.4,,,1881.6365007541478,2182.8317757009345,,,,1489.5106382978724,,,"J.T. Ginn",27889,669372
2025,"Bryce Miller","SEA",90.1,2509.3180379746836,2574.3888888888887,972.7681660899653,,2470.7372549019606,2482.1475409836066,,2356.8012048192772,,,,,"Bryce Miller",29837,682243
2025,"Emmet Sheehan","LAD",59.2,2446.503614457831,,,,,2352.6736111111113,2634.2033898305085,,,1144.8527607361964,,,"Emmet Sheehan",29839,686218
2025,"Ryan Bergert","- - -",72.1,2404.8080614203454,,,,2326.505882352941,2708.609090909091,2699.5,,,1497.8762886597938,,,"Ryan Bergert",29863,686701
2025,"Michael McGreevy","STL",90,2234.7513966480446,2305.580882352941,,,2202.6237288135594,2461.5942028985505,2533.017441860465,,,1750.6554054054054,,,"Michael McGreevy",29869,700241
2025,"Sean Burke","CHW",104,2550.6039603960394,,,,2402.5301204819275,2510.4768518518517,2552.028368794326,,,1805.9056603773586,,,"Sean Burke",29878,680732
2025,"Andrew Abbott","CIN",166.1,2269.546318289786,2501.3217391304347,,,,2781.5257452574524,2799.819306930693,,,1984.0342205323193,,,"Andrew Abbott",29911,671096
2025,"Cade Povich","BAL",103.2,2353.2009202453987,2462.6792452830186,,,2186.433628318584,2445.9681818181816,2567.9228855721394,,,1119.9703703703703,,,"Cade Povich",30055,700249
2025,"Landen Roupp","SFG",106.2,2101.5384615384614,2323.6693548387098,,,2100.548780487805,,3028.5363636363636,,,1827.5917721518988,,,"Landen Roupp",30076,694738
2025,"Chad Patrick","MIL",115.2,2328.9667458432305,2408.748427672956,1357.3333333333333,,2196.1743929359823,2440.5,2506.4074074074074,,,2027.4915254237287,,,"Chad Patrick",30113,694477
2025,"Gavin Williams","CLE",167.2,2300.095150960659,2269.153658536585,,,2075.181347150259,2254.0034542314334,2452.7083333333335,,,1986.5,,,"Gavin Williams",30122,668909
2025,"Tanner Bibee","CLE",182.1,2243.253694581281,2704.6564516129033,,,2226.440860215054,2675.263829787234,2665.5526315789475,,,1965.0333333333333,,,"Tanner Bibee",30134,676440
2025,"Jack Leiter","TEX",151.2,2390.2206477732793,,,,2347.003076923077,2498.038142620232,2586.754098360656,,,1515.877358490566,,,"Jack Leiter",30146,683004
2025,"Will Warren","NYY",162.1,2572.9845493562234,,,,2429.707482993197,3023.826989619377,2866.688775510204,,,1722.6,,,"Will Warren",30182,701542
2025,"Noah Cameron","KCR",138.1,2288.015761821366,2461.1459227467813,,,,2533.588996763754,2393.885167464115,,,1513.4525,,,"Noah Cameron",30184,702070
2025,"Hunter Dobbins","BOS",53,2364.7915407854985,,1463.1898734177216,,2242.3846153846152,2553.1938775510203,2477.872549019608,,,,,,"Hunter Dobbins",30240,690928
